colour	x	y	group	key	clickSelects	showSelected1	PANEL
#666666	6	21.7787356321839	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	7	21.3323391812866	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	8	21.0284971098266	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	9	21.02	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	10	21.02	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	11	21.02	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	12	21.0312643678161	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	13	21.0543859649123	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	14	21.141091954023	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	15	21.146081871345	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	16	21.0997674418605	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	17	21.4727485380117	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	18	21.1354597701149	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	19	20.9327011494253	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	20	20.8087931034483	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	21	20.5698837209302	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	22	20.6234682080925	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	23	21.8309302325581	4	Friday 01 Jul 2016	Friday 01 Jul 2016	Friday 01 Jul 2016	1
#666666	0	21.3638596491228	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	1	21.1298275862069	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	2	21.9142105263158	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
#666666	3	21.2987931034483	5	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	1
