colour	x	y	showSelected1	PANEL	group
#8DD3C7	1473613200	18	Wunderground	2	1
#8DD3C7	1473699600	21.1111111111111	Wunderground	2	1
#8DD3C7	1473786000	19	Wunderground	2	1
#8DD3C7	1473872400	13.5	Wunderground	2	1
#8DD3C7	1473958800	17	Wunderground	2	1
#8DD3C7	1474045200	20	Wunderground	2	1
#8DD3C7	1474131600	21	Wunderground	2	1
#8DD3C7	1474218000	21.5	Wunderground	2	1
#8DD3C7	1474304400	19.4444444444444	Wunderground	2	1
#8DD3C7	1474390800	20	Wunderground	2	1
#8DD3C7	1474477200	18	Wunderground	2	1
#8DD3C7	1474563600	12	Wunderground	2	1
#8DD3C7	1474650000	11	Wunderground	2	1
#8DD3C7	1474736400	11	Wunderground	2	1
#8DD3C7	1474822800	14	Wunderground	2	1
#8DD3C7	1474909200	15	Wunderground	2	1
#8DD3C7	1474995600	13	Wunderground	2	1
#8DD3C7	1475082000	13	Wunderground	2	1
#8DD3C7	1475168400	15	Wunderground	2	1
#8DD3C7	1475254800	14	Wunderground	2	1
#8DD3C7	1475341200	15	Wunderground	2	1
#8DD3C7	1475427600	13.3333333333333	Wunderground	2	1
#8DD3C7	1475514000	11.0555555555556	Wunderground	2	1
#8DD3C7	1475600400	15	Wunderground	2	1
#8DD3C7	1475686800	17	Wunderground	2	1
#8DD3C7	1475773200	17.5	Wunderground	2	1
#8DD3C7	1475859600	16	Wunderground	2	1
#8DD3C7	1475946000	11	Wunderground	2	1
#8DD3C7	1476032400	7	Wunderground	2	1
#8DD3C7	1476118800	11.8333333333333	Wunderground	2	1
#8DD3C7	1476205200	14.7222222222222	Wunderground	2	1
#8DD3C7	1476291600	12.8888888888889	Wunderground	2	1
#8DD3C7	1476378000	6.11111111111111	Wunderground	2	1
#8DD3C7	1476464400	11	Wunderground	2	1
#8DD3C7	1476550800	15	Wunderground	2	1
#8DD3C7	1476637200	12	Wunderground	2	1
#8DD3C7	1476723600	16.0555555555556	Wunderground	2	1
#8DD3C7	1476810000	14	Wunderground	2	1
#8DD3C7	1476896400	10.5555555555556	Wunderground	2	1
#8DD3C7	1476982800	10	Wunderground	2	1
#8DD3C7	1477069200	7.11111111111111	Wunderground	2	1
#8DD3C7	1477155600	5	Wunderground	2	1
#8DD3C7	1477242000	6	Wunderground	2	1
#8DD3C7	1477328400	3.66666666666667	Wunderground	2	1
#8DD3C7	1477414800	2	Wunderground	2	1
#8DD3C7	1477501200	2	Wunderground	2	1
#8DD3C7	1477587600	5	Wunderground	2	1
#8DD3C7	1477674000	5	Wunderground	2	1
#8DD3C7	1477760400	5.77777777777778	Wunderground	2	1
#8DD3C7	1477846800	3.88888888888889	Wunderground	2	1
#8DD3C7	1477933200	8	Wunderground	2	1
#8DD3C7	1478019600	11	Wunderground	2	1
#8DD3C7	1478106000	9	Wunderground	2	1
#8DD3C7	1478192400	3.61111111111111	Wunderground	2	1
#8DD3C7	1478278800	5	Wunderground	2	1
#8DD3C7	1478365200	5	Wunderground	2	1
#8DD3C7	1478451600	5.27777777777778	Wunderground	2	1
#8DD3C7	1478538000	10	Wunderground	2	1
