colour	x	y	key	group	clickSelects	showSelected1	PANEL
#8DD3C7	8	-2	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	9	-2	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	9	-1	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	10	-1	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	11	0	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	11	0	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	11	0	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	12	0	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	12	0	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	12	0	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	13	0	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	13	0	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	13	0	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	14	0	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	15	0	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	16	-1	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	17	-1	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	18	-1	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	19	-1.66666666666667	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	19	-2	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	20	-1	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	20	-1	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	21	-2	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	21	-2	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	22	-2	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	23	-2	Friday 01 Jan 2016	3	Friday 01 Jan 2016	Friday 01 Jan 2016	2
#8DD3C7	0	21	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	1	19	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	2	17.7777777777778	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	2	18	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	3	17	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	4	16	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	5	16.6666666666667	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	5	16	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	6	17	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
#8DD3C7	7	18	Friday 01 Jul 2016	4	Friday 01 Jul 2016	Friday 01 Jul 2016	2
