x	y	label	key	clickSelects	showSelected1	PANEL	group
23	21.1111111111111	Thursday 17 Aug 2017	Thursday 17 Aug 2017	Thursday 17 Aug 2017	Thursday 17 Aug 2017	2	560
23	18.8888888888889	Friday 18 Aug 2017	Friday 18 Aug 2017	Friday 18 Aug 2017	Friday 18 Aug 2017	2	72
23	20.7222222222222	Saturday 19 Aug 2017	Saturday 19 Aug 2017	Saturday 19 Aug 2017	Saturday 19 Aug 2017	2	322
23	22.2222222222222	Sunday 20 Aug 2017	Sunday 20 Aug 2017	Sunday 20 Aug 2017	Sunday 20 Aug 2017	2	449
23	24.1111111111111	Monday 21 Aug 2017	Monday 21 Aug 2017	Monday 21 Aug 2017	Monday 21 Aug 2017	2	207
23	20.7777777777778	Tuesday 22 Aug 2017	Tuesday 22 Aug 2017	Tuesday 22 Aug 2017	Tuesday 22 Aug 2017	2	703
23	16.6666666666667	Wednesday 23 Aug 2017	Wednesday 23 Aug 2017	Wednesday 23 Aug 2017	Wednesday 23 Aug 2017	2	831
23	14.4444444444444	Thursday 24 Aug 2017	Thursday 24 Aug 2017	Thursday 24 Aug 2017	Thursday 24 Aug 2017	2	588
23	16.1111111111111	Friday 25 Aug 2017	Friday 25 Aug 2017	Friday 25 Aug 2017	Friday 25 Aug 2017	2	100
23	16.6666666666667	Saturday 26 Aug 2017	Saturday 26 Aug 2017	Saturday 26 Aug 2017	Saturday 26 Aug 2017	2	350
23	16.1111111111111	Sunday 27 Aug 2017	Sunday 27 Aug 2017	Sunday 27 Aug 2017	Sunday 27 Aug 2017	2	477
23	18.3333333333333	Monday 28 Aug 2017	Monday 28 Aug 2017	Monday 28 Aug 2017	Monday 28 Aug 2017	2	235
23	17.7777777777778	Tuesday 29 Aug 2017	Tuesday 29 Aug 2017	Tuesday 29 Aug 2017	Tuesday 29 Aug 2017	2	731
23	19.4444444444444	Wednesday 30 Aug 2017	Wednesday 30 Aug 2017	Wednesday 30 Aug 2017	Wednesday 30 Aug 2017	2	858
23	11.1111111111111	Thursday 31 Aug 2017	Thursday 31 Aug 2017	Thursday 31 Aug 2017	Thursday 31 Aug 2017	2	614
23	12	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	Friday 01 Sep 2017	2	5
23	9	Saturday 02 Sep 2017	Saturday 02 Sep 2017	Saturday 02 Sep 2017	Saturday 02 Sep 2017	2	255
23	13.2222222222222	Sunday 03 Sep 2017	Sunday 03 Sep 2017	Sunday 03 Sep 2017	Sunday 03 Sep 2017	2	382
23	18.7222222222222	Monday 04 Sep 2017	Monday 04 Sep 2017	Monday 04 Sep 2017	Monday 04 Sep 2017	2	139
23	16.8888888888889	Tuesday 05 Sep 2017	Tuesday 05 Sep 2017	Tuesday 05 Sep 2017	Tuesday 05 Sep 2017	2	635
23	16.1111111111111	Wednesday 06 Sep 2017	Wednesday 06 Sep 2017	Wednesday 06 Sep 2017	Wednesday 06 Sep 2017	2	763
23	14.2222222222222	Thursday 07 Sep 2017	Thursday 07 Sep 2017	Thursday 07 Sep 2017	Thursday 07 Sep 2017	2	521
23	13	Friday 08 Sep 2017	Friday 08 Sep 2017	Friday 08 Sep 2017	Friday 08 Sep 2017	2	33
23	13.8888888888889	Saturday 09 Sep 2017	Saturday 09 Sep 2017	Saturday 09 Sep 2017	Saturday 09 Sep 2017	2	283
23	16.3888888888889	Sunday 10 Sep 2017	Sunday 10 Sep 2017	Sunday 10 Sep 2017	Sunday 10 Sep 2017	2	410
23	17.6111111111111	Monday 11 Sep 2017	Monday 11 Sep 2017	Monday 11 Sep 2017	Monday 11 Sep 2017	2	168
23	18.8888888888889	Tuesday 12 Sep 2017	Tuesday 12 Sep 2017	Tuesday 12 Sep 2017	Tuesday 12 Sep 2017	2	664
23	21.2222222222222	Wednesday 13 Sep 2017	Wednesday 13 Sep 2017	Wednesday 13 Sep 2017	Wednesday 13 Sep 2017	2	792
10	22.1111111111111	Thursday 14 Sep 2017	Thursday 14 Sep 2017	Thursday 14 Sep 2017	Thursday 14 Sep 2017	2	550
23	20.5555555555556	Friday 15 Sep 2017	Friday 15 Sep 2017	Friday 15 Sep 2017	Friday 15 Sep 2017	2	62
23	22.7777777777778	Saturday 16 Sep 2017	Saturday 16 Sep 2017	Saturday 16 Sep 2017	Saturday 16 Sep 2017	2	312
23	21.6666666666667	Sunday 17 Sep 2017	Sunday 17 Sep 2017	Sunday 17 Sep 2017	Sunday 17 Sep 2017	2	439
23	21.1111111111111	Monday 18 Sep 2017	Monday 18 Sep 2017	Monday 18 Sep 2017	Monday 18 Sep 2017	2	197
23	21.6666666666667	Tuesday 19 Sep 2017	Tuesday 19 Sep 2017	Tuesday 19 Sep 2017	Tuesday 19 Sep 2017	2	693
23	20.5555555555556	Wednesday 20 Sep 2017	Wednesday 20 Sep 2017	Wednesday 20 Sep 2017	Wednesday 20 Sep 2017	2	821
23	19.8888888888889	Thursday 21 Sep 2017	Thursday 21 Sep 2017	Thursday 21 Sep 2017	Thursday 21 Sep 2017	2	578
23	19.8888888888889	Friday 22 Sep 2017	Friday 22 Sep 2017	Friday 22 Sep 2017	Friday 22 Sep 2017	2	90
23	24.2777777777778	Saturday 23 Sep 2017	Saturday 23 Sep 2017	Saturday 23 Sep 2017	Saturday 23 Sep 2017	2	340
23	26.6666666666667	Sunday 24 Sep 2017	Sunday 24 Sep 2017	Sunday 24 Sep 2017	Sunday 24 Sep 2017	2	467
23	24.7777777777778	Monday 25 Sep 2017	Monday 25 Sep 2017	Monday 25 Sep 2017	Monday 25 Sep 2017	2	225
23	24.6111111111111	Tuesday 26 Sep 2017	Tuesday 26 Sep 2017	Tuesday 26 Sep 2017	Tuesday 26 Sep 2017	2	721
23	20.5	Wednesday 27 Sep 2017	Wednesday 27 Sep 2017	Wednesday 27 Sep 2017	Wednesday 27 Sep 2017	2	849
23	11.1111111111111	Thursday 28 Sep 2017	Thursday 28 Sep 2017	Thursday 28 Sep 2017	Thursday 28 Sep 2017	2	606
23	11.6666666666667	Friday 29 Sep 2017	Friday 29 Sep 2017	Friday 29 Sep 2017	Friday 29 Sep 2017	2	118
23	10	Saturday 30 Sep 2017	Saturday 30 Sep 2017	Saturday 30 Sep 2017	Saturday 30 Sep 2017	2	368
23	13.7777777777778	Sunday 01 Oct 2017	Sunday 01 Oct 2017	Sunday 01 Oct 2017	Sunday 01 Oct 2017	2	374
23	13.5	Monday 02 Oct 2017	Monday 02 Oct 2017	Monday 02 Oct 2017	Monday 02 Oct 2017	2	131
23	17.2222222222222	Tuesday 03 Oct 2017	Tuesday 03 Oct 2017	Tuesday 03 Oct 2017	Tuesday 03 Oct 2017	2	627
23	18.7222222222222	Wednesday 04 Oct 2017	Wednesday 04 Oct 2017	Wednesday 04 Oct 2017	Wednesday 04 Oct 2017	2	755
23	15.6111111111111	Thursday 05 Oct 2017	Thursday 05 Oct 2017	Thursday 05 Oct 2017	Thursday 05 Oct 2017	2	513
21	13.3888888888889	Friday 06 Oct 2017	Friday 06 Oct 2017	Friday 06 Oct 2017	Friday 06 Oct 2017	2	25
23	19.4444444444444	Saturday 07 Oct 2017	Saturday 07 Oct 2017	Saturday 07 Oct 2017	Saturday 07 Oct 2017	2	275
23	18.7222222222222	Sunday 08 Oct 2017	Sunday 08 Oct 2017	Sunday 08 Oct 2017	Sunday 08 Oct 2017	2	402
23	16.6666666666667	Monday 09 Oct 2017	Monday 09 Oct 2017	Monday 09 Oct 2017	Monday 09 Oct 2017	2	160
23	16.2777777777778	Tuesday 10 Oct 2017	Tuesday 10 Oct 2017	Tuesday 10 Oct 2017	Tuesday 10 Oct 2017	2	656
23	9.22222222222222	Wednesday 11 Oct 2017	Wednesday 11 Oct 2017	Wednesday 11 Oct 2017	Wednesday 11 Oct 2017	2	784
23	11.1111111111111	Thursday 12 Oct 2017	Thursday 12 Oct 2017	Thursday 12 Oct 2017	Thursday 12 Oct 2017	2	542
23	15	Friday 13 Oct 2017	Friday 13 Oct 2017	Friday 13 Oct 2017	Friday 13 Oct 2017	2	54
23	16.2222222222222	Saturday 14 Oct 2017	Saturday 14 Oct 2017	Saturday 14 Oct 2017	Saturday 14 Oct 2017	2	304
23	16.2222222222222	Sunday 15 Oct 2017	Sunday 15 Oct 2017	Sunday 15 Oct 2017	Sunday 15 Oct 2017	2	431
23	4	Monday 16 Oct 2017	Monday 16 Oct 2017	Monday 16 Oct 2017	Monday 16 Oct 2017	2	189
23	9.5	Tuesday 17 Oct 2017	Tuesday 17 Oct 2017	Tuesday 17 Oct 2017	Tuesday 17 Oct 2017	2	685
23	14.4444444444444	Wednesday 18 Oct 2017	Wednesday 18 Oct 2017	Wednesday 18 Oct 2017	Wednesday 18 Oct 2017	2	813
23	15.6111111111111	Thursday 19 Oct 2017	Thursday 19 Oct 2017	Thursday 19 Oct 2017	Thursday 19 Oct 2017	2	570
23	13.6111111111111	Friday 20 Oct 2017	Friday 20 Oct 2017	Friday 20 Oct 2017	Friday 20 Oct 2017	2	82
23	15.5	Saturday 21 Oct 2017	Saturday 21 Oct 2017	Saturday 21 Oct 2017	Saturday 21 Oct 2017	2	332
23	11.8888888888889	Sunday 22 Oct 2017	Sunday 22 Oct 2017	Sunday 22 Oct 2017	Sunday 22 Oct 2017	2	459
23	17.2222222222222	Monday 23 Oct 2017	Monday 23 Oct 2017	Monday 23 Oct 2017	Monday 23 Oct 2017	2	217
23	13.5	Tuesday 24 Oct 2017	Tuesday 24 Oct 2017	Tuesday 24 Oct 2017	Tuesday 24 Oct 2017	2	713
23	12.2222222222222	Wednesday 25 Oct 2017	Wednesday 25 Oct 2017	Wednesday 25 Oct 2017	Wednesday 25 Oct 2017	2	841
23	8.88888888888889	Thursday 26 Oct 2017	Thursday 26 Oct 2017	Thursday 26 Oct 2017	Thursday 26 Oct 2017	2	598
23	8.33333333333333	Friday 27 Oct 2017	Friday 27 Oct 2017	Friday 27 Oct 2017	Friday 27 Oct 2017	2	110
23	16.1111111111111	Saturday 28 Oct 2017	Saturday 28 Oct 2017	Saturday 28 Oct 2017	Saturday 28 Oct 2017	2	360
23	11.6666666666667	Sunday 29 Oct 2017	Sunday 29 Oct 2017	Sunday 29 Oct 2017	Sunday 29 Oct 2017	2	487
23	6.66666666666667	Monday 30 Oct 2017	Monday 30 Oct 2017	Monday 30 Oct 2017	Monday 30 Oct 2017	2	245
23	5.77777777777778	Tuesday 31 Oct 2017	Tuesday 31 Oct 2017	Tuesday 31 Oct 2017	Tuesday 31 Oct 2017	2	740
23	5.77777777777778	Wednesday 01 Nov 2017	Wednesday 01 Nov 2017	Wednesday 01 Nov 2017	Wednesday 01 Nov 2017	2	744
